,index,country,year,population,gdp,co2,co2_growth_prct
0,130,Afghanistan,1980,12486640.0,15329836032.0,1.756,-21.339
1,131,Afghanistan,1981,11155196.0,15645343744.0,1.978,12.649
2,132,Afghanistan,1982,10088290.0,15980409856.0,2.095,5.869
3,133,Afghanistan,1983,9951447.0,16755333120.0,2.52,20.308
4,134,Afghanistan,1984,10243689.0,17072152576.0,2.822,11.968
5,135,Afghanistan,1985,10512220.0,17108480000.0,3.501,24.096
6,136,Afghanistan,1986,10448447.0,17641345024.0,3.134,-10.504
7,137,Afghanistan,1987,10322767.0,15810816000.0,3.114,-0.632
8,138,Afghanistan,1988,10383459.0,14499068928.0,2.857,-8.251
9,139,Afghanistan,1989,10673172.0,13489497088.0,2.765,-3.222
10,140,Afghanistan,1990,10694804.0,13065984000.0,2.024,-26.784
11,141,Afghanistan,1991,10745168.0,12047362048.0,1.914,-5.435
12,142,Afghanistan,1992,12057436.0,12677538816.0,1.482,-22.58
13,143,Afghanistan,1993,14003764.0,9834580992.0,1.487,0.33
14,144,Afghanistan,1994,15455560.0,7919857152.0,1.454,-2.227
15,145,Afghanistan,1995,16418911.0,12307525632.0,1.417,-2.511
16,146,Afghanistan,1996,17106600.0,12070125568.0,1.37,-3.332
17,147,Afghanistan,1997,17788818.0,11850752000.0,1.304,-4.814
18,148,Afghanistan,1998,18493134.0,11692172288.0,1.279,-1.967
19,149,Afghanistan,1999,19262854.0,11517317120.0,1.092,-14.616
20,150,Afghanistan,2000,19542986.0,11283792896.0,1.047,-4.078
21,151,Afghanistan,2001,19688634.0,11021273088.0,1.069,2.098
22,152,Afghanistan,2002,21000258.0,18804871168.0,1.341,25.432
23,153,Afghanistan,2003,22645136.0,21074343936.0,1.56,16.302
24,154,Afghanistan,2004,23553554.0,22332571648.0,1.237,-20.669
25,155,Afghanistan,2005,24411196.0,25397688320.0,1.89,52.719
26,156,Afghanistan,2006,25442946.0,28704401408.0,2.159,14.279
27,157,Afghanistan,2007,25903306.0,34507530240.0,2.8,29.666
28,158,Afghanistan,2008,26427204.0,36561043456.0,4.254,51.951
29,159,Afghanistan,2009,27385310.0,44358721536.0,6.392,50.239
30,160,Afghanistan,2010,28189672.0,47399424000.0,8.365,30.866
31,161,Afghanistan,2011,29249156.0,53326336000.0,11.838,41.525
32,162,Afghanistan,2012,30466484.0,59166900224.0,10.035,-15.23
33,163,Afghanistan,2013,31541216.0,62993698816.0,9.251,-7.82
34,164,Afghanistan,2014,32716214.0,64346107904.0,9.17,-0.867
35,165,Afghanistan,2015,33753500.0,62783393792.0,9.791,6.77
36,166,Afghanistan,2016,34636212.0,64297426944.0,9.068,-7.389
37,167,Afghanistan,2017,35643420.0,68752801792.0,9.868,8.827
38,168,Afghanistan,2018,36686788.0,67594969088.0,10.818,9.628
39,169,Afghanistan,2019,37769496.0,,11.082,2.436
40,170,Afghanistan,2020,38972236.0,,11.682,5.416
41,171,Afghanistan,2021,40099460.0,,11.874,1.647
42,402,Africa,1980,481543145.0,,536.49,7.3
43,403,Africa,1981,495655683.0,,549.365,2.4
44,404,Africa,1982,510540596.0,,572.577,4.225
45,405,Africa,1983,525335348.0,,595.413,3.988
46,406,Africa,1984,540183119.0,,650.254,9.211
47,407,Africa,1985,555652995.0,,666.655,2.522
48,408,Africa,1986,571646786.0,,690.671,3.602
49,409,Africa,1987,588080029.0,,690.763,0.013
50,410,Africa,1988,604511530.0,,726.007,5.102
51,411,Africa,1989,621167964.0,,699.179,-3.695
52,412,Africa,1990,638157571.0,,659.297,-5.704
53,413,Africa,1991,655040869.0,,688.954,4.498
54,414,Africa,1992,671931834.0,,668.606,-2.953
55,415,Africa,1993,689140286.0,,708.741,6.003
56,416,Africa,1994,706488557.0,,719.465,1.513
57,417,Africa,1995,724331972.0,,771.882,7.286
58,418,Africa,1996,742765067.0,,783.332,1.483
59,419,Africa,1997,761224818.0,,812.606,3.737
60,420,Africa,1998,779908311.0,,837.844,3.106
61,421,Africa,1999,799099611.0,,830.411,-0.887
62,422,Africa,2000,818952374.0,,886.403,6.743
63,423,Africa,2001,839464127.0,,884.0,-0.271
64,424,Africa,2002,860611762.0,,892.559,0.968
65,425,Africa,2003,882349569.0,,967.17,8.359
66,426,Africa,2004,904781595.0,,1036.637,7.183
67,427,Africa,2005,927898412.0,,1057.361,1.999
68,428,Africa,2006,951740562.0,,1090.145,3.101
69,429,Africa,2007,976461747.0,,1132.287,3.866
70,430,Africa,2008,1001981577.0,,1181.175,4.318
71,431,Africa,2009,1028200528.0,,1171.78,-0.795
72,432,Africa,2010,1055233717.0,,1214.749,3.667
73,433,Africa,2011,1082676070.0,,1251.306,3.009
74,434,Africa,2012,1110797495.0,,1259.537,0.658
75,435,Africa,2013,1140180888.0,,1268.892,0.743
76,436,Africa,2014,1170299297.0,,1350.089,6.399
77,437,Africa,2015,1201108186.0,,1323.759,-1.95
78,438,Africa,2016,1232111820.0,,1363.459,2.999
79,439,Africa,2017,1263333997.0,,1379.49,1.176
80,440,Africa,2018,1295265310.0,,1366.411,-0.948
81,441,Africa,2019,1327701380.0,,1467.492,7.398
82,442,Africa,2020,1360677453.0,,1385.889,-5.561
83,443,Africa,2021,1393676724.0,,1450.796,4.683
84,574,Africa (GCP),1980,,,536.49,
85,575,Africa (GCP),1981,,,549.358,
86,576,Africa (GCP),1982,,,572.573,
87,577,Africa (GCP),1983,,,595.41,
88,578,Africa (GCP),1984,,,650.25,
89,579,Africa (GCP),1985,,,666.652,
90,580,Africa (GCP),1986,,,690.667,
91,581,Africa (GCP),1987,,,690.759,
92,582,Africa (GCP),1988,,,725.999,
93,583,Africa (GCP),1989,,,699.172,
94,584,Africa (GCP),1990,,,659.29,
95,585,Africa (GCP),1991,,,688.946,
96,586,Africa (GCP),1992,,,668.599,
97,587,Africa (GCP),1993,,,708.73,
98,588,Africa (GCP),1994,,,719.454,
99,589,Africa (GCP),1995,,,771.871,
100,590,Africa (GCP),1996,,,783.321,
101,591,Africa (GCP),1997,,,812.595,
102,592,Africa (GCP),1998,,,837.833,
103,593,Africa (GCP),1999,,,830.4,
104,594,Africa (GCP),2000,,,886.392,
105,595,Africa (GCP),2001,,,883.989,
106,596,Africa (GCP),2002,,,892.548,
107,597,Africa (GCP),2003,,,967.159,
108,598,Africa (GCP),2004,,,1036.626,
109,599,Africa (GCP),2005,,,1057.35,
110,600,Africa (GCP),2006,,,1090.134,
111,601,Africa (GCP),2007,,,1132.276,
112,602,Africa (GCP),2008,,,1181.164,
113,603,Africa (GCP),2009,,,1171.769,
114,604,Africa (GCP),2010,,,1214.738,
115,605,Africa (GCP),2011,,,1251.295,
116,606,Africa (GCP),2012,,,1259.526,
117,607,Africa (GCP),2013,,,1268.881,
118,608,Africa (GCP),2014,,,1350.078,
119,609,Africa (GCP),2015,,,1323.748,
120,610,Africa (GCP),2016,,,1363.444,
121,611,Africa (GCP),2017,,,1379.479,
122,612,Africa (GCP),2018,,,1366.4,
123,613,Africa (GCP),2019,,,1467.477,
124,614,Africa (GCP),2020,,,1385.877,
125,615,Africa (GCP),2021,,,1450.782,
126,746,Aland Islands,1980,,,,
127,747,Aland Islands,1981,,,,
128,748,Aland Islands,1982,,,,
129,749,Aland Islands,1983,,,,
130,750,Aland Islands,1984,,,,
131,751,Aland Islands,1985,,,,
132,752,Aland Islands,1986,,,,
133,753,Aland Islands,1987,,,,
134,754,Aland Islands,1988,,,,
135,755,Aland Islands,1989,,,,
136,756,Aland Islands,1990,,,,
137,757,Aland Islands,1991,,,,
138,758,Aland Islands,1992,,,,
139,759,Aland Islands,1993,,,,
140,760,Aland Islands,1994,,,,
141,761,Aland Islands,1995,,,,
142,762,Aland Islands,1996,,,,
143,763,Aland Islands,1997,,,,
144,764,Aland Islands,1998,,,,
145,765,Aland Islands,1999,,,,
146,766,Aland Islands,2000,,,,
147,767,Aland Islands,2001,,,,
148,768,Aland Islands,2002,,,,
149,769,Aland Islands,2003,,,,
150,770,Aland Islands,2004,,,,
151,771,Aland Islands,2005,,,,
152,772,Aland Islands,2006,,,,
153,773,Aland Islands,2007,,,,
154,774,Aland Islands,2008,,,,
155,775,Aland Islands,2009,,,,
156,776,Aland Islands,2010,,,,
157,777,Aland Islands,2011,,,,
158,778,Aland Islands,2012,,,,
159,779,Aland Islands,2013,,,,
160,780,Aland Islands,2014,,,,
161,781,Aland Islands,2015,,,,
162,782,Aland Islands,2016,,,,
163,783,Aland Islands,2017,,,,
164,784,Aland Islands,2018,,,,
165,785,Aland Islands,2019,,,,
166,786,Aland Islands,2020,,,,
167,787,Aland Islands,2021,,,,
168,918,Albania,1980,2941650.0,9993752576.0,5.171,-31.819
169,919,Albania,1981,2992391.0,10248711168.0,7.34,41.943
170,920,Albania,1982,3041188.0,10517106688.0,7.308,-0.436
171,921,Albania,1983,3087904.0,10795983872.0,7.631,4.423
172,922,Albania,1984,3131731.0,11080088576.0,7.826,2.557
173,923,Albania,1985,3171727.0,11371456512.0,7.882,0.711
174,924,Albania,1986,3207129.0,11669744640.0,8.058,2.24
175,925,Albania,1987,3237677.0,11975300096.0,7.447,-7.582
176,926,Albania,1988,3263019.0,12296424448.0,7.329,-1.583
177,927,Albania,1989,3282187.0,12617018368.0,8.986,22.607
178,928,Albania,1990,3295073.0,12947849216.0,5.521,-38.566
179,929,Albania,1991,3302087.0,9375844352.0,4.29,-22.287
180,930,Albania,1992,3303738.0,8745680896.0,2.517,-41.329
181,931,Albania,1993,3300715.0,9636359168.0,2.338,-7.116
182,932,Albania,1994,3294001.0,10596127744.0,1.924,-17.716
183,933,Albania,1995,3284370.0,11600734208.0,2.089,8.59
184,934,Albania,1996,3271336.0,12727380992.0,2.018,-3.425
185,935,Albania,1997,3253721.0,11396507648.0,1.543,-23.519
