,Year,Continent,Disaster Type,Number of Disasters,Difference from Previous Year,% Difference from Previous Year
3,1970,Americas,Drought,1,0.0,0.0
4,1970,Americas,Flood,15,13.0,650.0
5,1970,Americas,Storm,7,6.0,600.0
7,1970,Asia,Flood,11,-4.0,-26.666666666666668
9,1970,Asia,Storm,14,7.0,100.0
10,1970,Asia,Wildfire,2,1.0,100.0
11,1970,Europe,Flood,3,-8.0,-72.72727272727273
12,1970,Europe,Landslide,3,0.0,0.0
13,1970,Europe,Storm,1,-13.0,-92.85714285714286
14,1970,Oceania,Storm,1,0.0,0.0
15,1971,Africa,Drought,5,4.0,400.0
16,1971,Africa,Flood,1,-2.0,-66.66666666666666
17,1971,Americas,Flood,8,7.0,700.0
18,1971,Americas,Landslide,3,0.0,0.0
19,1971,Americas,Storm,7,6.0,600.0
20,1971,Asia,Drought,1,-4.0,-80.0
21,1971,Asia,Flood,4,-4.0,-50.0
22,1971,Asia,Landslide,1,-2.0,-66.66666666666666
23,1971,Asia,Storm,13,6.0,85.71428571428571
24,1971,Asia,Wildfire,2,0.0,0.0
25,1971,Europe,Flood,1,-3.0,-75.0
26,1971,Europe,Storm,1,-12.0,-92.3076923076923
27,1971,Oceania,Flood,1,0.0,0.0
28,1971,Oceania,Landslide,1,0.0,0.0
29,1971,Oceania,Storm,1,0.0,0.0
30,1972,Africa,Flood,1,0.0,0.0
31,1972,Africa,Storm,2,1.0,100.0
32,1972,Americas,Drought,1,0.0,0.0
33,1972,Americas,Flood,4,3.0,300.0
34,1972,Americas,Landslide,2,1.0,100.0
35,1972,Americas,Storm,2,0.0,0.0
36,1972,Asia,Drought,3,2.0,200.0
37,1972,Asia,Flood,9,5.0,125.0
38,1972,Asia,Landslide,3,1.0,50.0
39,1972,Asia,Storm,10,8.0,400.0
40,1972,Asia,Wildfire,3,1.0,50.0
41,1972,Europe,Flood,1,-8.0,-88.88888888888889
42,1972,Europe,Storm,4,-6.0,-60.0
43,1972,Oceania,Storm,8,4.0,100.0
44,1973,Africa,Drought,2,-1.0,-33.33333333333333
45,1973,Africa,Flood,4,3.0,300.0
46,1973,Africa,Wildfire,1,-2.0,-66.66666666666666
47,1973,Americas,Drought,1,-1.0,-50.0
48,1973,Americas,Flood,9,5.0,125.0
49,1973,Americas,Landslide,5,2.0,66.66666666666666
50,1973,Americas,Storm,4,-4.0,-50.0
51,1973,Asia,Flood,5,-4.0,-44.44444444444444
52,1973,Asia,Storm,10,6.0,150.0
53,1973,Asia,Wildfire,2,1.0,100.0
54,1973,Europe,Flood,1,-4.0,-80.0
55,1973,Europe,Storm,5,-5.0,-50.0
56,1973,Oceania,Flood,1,0.0,0.0
57,1973,Oceania,Storm,3,-2.0,-40.0
58,1974,Africa,Flood,5,4.0,400.0
59,1974,Americas,Drought,1,0.0,0.0
60,1974,Americas,Flood,5,0.0,0.0
61,1974,Americas,Landslide,5,0.0,0.0
62,1974,Americas,Storm,7,4.0,133.33333333333331
63,1974,Asia,Drought,1,0.0,0.0
64,1974,Asia,Flood,8,3.0,60.0
65,1974,Asia,Landslide,2,-3.0,-60.0
66,1974,Asia,Storm,18,11.0,157.14285714285714
67,1974,Asia,Wildfire,3,1.0,50.0
68,1974,Europe,Landslide,3,1.0,50.0
69,1974,Europe,Storm,1,-17.0,-94.44444444444444
70,1974,Oceania,Drought,1,0.0,0.0
71,1974,Oceania,Flood,1,-7.0,-87.5
72,1974,Oceania,Storm,2,1.0,100.0
73,1975,Africa,Flood,6,5.0,500.0
74,1975,Africa,Storm,4,2.0,100.0
75,1975,Americas,Flood,2,-4.0,-66.66666666666666
76,1975,Americas,Storm,9,5.0,125.0
77,1975,Asia,Drought,1,0.0,0.0
78,1975,Asia,Flood,8,6.0,300.0
79,1975,Asia,Landslide,2,-1.0,-33.33333333333333
80,1975,Asia,Storm,11,2.0,22.22222222222222
81,1975,Europe,Flood,1,-7.0,-87.5
82,1975,Europe,Landslide,3,1.0,50.0
83,1975,Oceania,Flood,1,0.0,0.0
84,1975,Oceania,Storm,4,-7.0,-63.63636363636363
85,1975,Oceania,Wildfire,2,-1.0,-33.33333333333333
86,1976,Africa,Drought,6,5.0,500.0
87,1976,Africa,Flood,1,0.0,0.0
88,1976,Africa,Storm,1,-3.0,-75.0
89,1976,Americas,Flood,5,4.0,400.0
90,1976,Americas,Landslide,2,-1.0,-33.33333333333333
91,1976,Americas,Storm,2,1.0,100.0
92,1976,Americas,Wildfire,1,-1.0,-50.0
93,1976,Asia,Drought,1,-5.0,-83.33333333333334
94,1976,Asia,Flood,9,4.0,80.0
95,1976,Asia,Landslide,4,2.0,100.0
96,1976,Asia,Storm,16,14.0,700.0
97,1976,Europe,Drought,1,0.0,0.0
98,1976,Europe,Storm,9,-7.0,-43.75
99,1976,Oceania,Drought,2,1.0,100.0
100,1976,Oceania,Flood,2,-7.0,-77.77777777777779
101,1976,Oceania,Storm,8,-1.0,-11.11111111111111
102,1977,Africa,Drought,3,1.0,50.0
103,1977,Africa,Flood,8,6.0,300.0
104,1977,Africa,Storm,3,-5.0,-62.5
105,1977,Americas,Drought,4,1.0,33.33333333333333
106,1977,Americas,Flood,12,4.0,50.0
107,1977,Americas,Landslide,1,-3.0,-75.0
108,1977,Americas,Storm,6,3.0,100.0
109,1977,Asia,Drought,6,2.0,50.0
110,1977,Asia,Flood,18,6.0,50.0
111,1977,Asia,Landslide,1,0.0,0.0
112,1977,Asia,Storm,19,13.0,216.66666666666666
113,1977,Europe,Flood,8,-10.0,-55.55555555555556
114,1977,Europe,Landslide,1,0.0,0.0
115,1977,Oceania,Flood,2,-6.0,-75.0
116,1977,Oceania,Storm,4,-15.0,-78.94736842105263
117,1977,Oceania,Wildfire,2,1.0,100.0
118,1978,Africa,Drought,2,-4.0,-66.66666666666666
119,1978,Africa,Flood,8,6.0,300.0
120,1978,Africa,Storm,3,-1.0,-25.0
121,1978,Africa,Wildfire,1,-1.0,-50.0
122,1978,Americas,Drought,2,0.0,0.0
123,1978,Americas,Flood,9,1.0,12.5
124,1978,Americas,Storm,8,5.0,166.66666666666669
125,1978,Asia,Drought,3,1.0,50.0
126,1978,Asia,Flood,22,13.0,144.44444444444443
127,1978,Asia,Landslide,2,1.0,100.0
128,1978,Asia,Storm,24,16.0,200.0
129,1978,Asia,Wildfire,2,1.0,100.0
130,1978,Europe,Flood,3,-19.0,-86.36363636363636
131,1978,Europe,Storm,1,-23.0,-95.83333333333334
132,1978,Oceania,Drought,1,-2.0,-66.66666666666666
133,1978,Oceania,Flood,5,2.0,66.66666666666666
134,1978,Oceania,Storm,6,5.0,500.0
135,1979,Africa,Drought,4,3.0,300.0
136,1979,Africa,Flood,6,1.0,20.0
137,1979,Africa,Storm,3,-3.0,-50.0
138,1979,Americas,Drought,1,-3.0,-75.0
139,1979,Americas,Flood,12,6.0,100.0
140,1979,Americas,Landslide,1,-1.0,-50.0
141,1979,Americas,Storm,11,8.0,266.66666666666663
142,1979,Asia,Drought,6,5.0,500.0
143,1979,Asia,Flood,11,-1.0,-8.333333333333332
144,1979,Asia,Landslide,4,3.0,300.0
145,1979,Asia,Storm,12,1.0,9.090909090909092
146,1979,Asia,Wildfire,3,1.0,50.0
147,1979,Europe,Flood,5,-6.0,-54.54545454545454
148,1979,Oceania,Landslide,2,-2.0,-50.0
149,1979,Oceania,Storm,5,-7.0,-58.333333333333336
150,1979,Oceania,Wildfire,1,-2.0,-66.66666666666666
151,1980,Africa,Drought,19,13.0,216.66666666666666
152,1980,Africa,Landslide,1,-1.0,-50.0
153,1980,Africa,Storm,1,-4.0,-80.0
154,1980,Americas,Drought,1,-18.0,-94.73684210526315
155,1980,Americas,Flood,14,9.0,180.0
156,1980,Americas,Storm,14,13.0,1300.0
157,1980,Americas,Wildfire,1,0.0,0.0
158,1980,Asia,Drought,2,1.0,100.0
159,1980,Asia,Flood,20,6.0,42.857142857142854
160,1980,Asia,Landslide,3,2.0,200.0
161,1980,Asia,Storm,20,6.0,42.857142857142854
162,1980,Asia,Wildfire,2,1.0,100.0
163,1980,Europe,Drought,1,-1.0,-50.0
164,1980,Europe,Flood,3,-17.0,-85.0
165,1980,Europe,Storm,1,-19.0,-95.0
166,1980,Oceania,Drought,1,0.0,0.0
167,1980,Oceania,Flood,2,-1.0,-33.33333333333333
168,1980,Oceania,Storm,6,5.0,500.0
169,1980,Oceania,Wildfire,1,-1.0,-50.0
170,1981,Africa,Drought,12,11.0,1100.0
171,1981,Africa,Flood,7,5.0,250.0
172,1981,Africa,Storm,2,-4.0,-66.66666666666666
173,1981,Americas,Drought,2,-10.0,-83.33333333333334
174,1981,Americas,Flood,7,0.0,0.0
175,1981,Americas,Landslide,4,1.0,33.33333333333333
176,1981,Americas,Storm,5,3.0,150.0
177,1981,Asia,Drought,2,0.0,0.0
